Pin,Occurrence, Percentage
5266,191 0,0.015783728
3388,191 0,0.015783728
2588,190 0,0.015701091
1388,189 0,0.015618454
1920,189 0,0.015618454
1360,188 0,0.015535816
2513,188 0,0.015535816
8855,187 0,0.015453179
9981,186 0,0.015370542
1500,186 0,0.015370542
3250,186 0,0.015370542
1947,186 0,0.015370542
5205,185 0,0.015287904
229,185 0,0.015287904
1337,185 0,0.015287904
3322,184 0,0.015205267
7411,184 0,0.015205267
2,184 0,0.015205267
2123,183 0,0.01512263
6120,183 0,0.01512263
1239,183 0,0.01512263
8282,183 0,0.01512263
6677,182 0,0.015039992
5206,181 0,0.014957355
8,181 0,0.014957355
8426,181 0,0.014957355
2512,180 0,0.014874718
2587,180 0,0.014874718
1310,180 0,0.014874718
8850,180 0,0.014874718
2310,180 0,0.014874718
4521,179 0,0.01479208
6565,179 0,0.01479208
1240,178 0,0.014709443
3434,178 0,0.014709443
2018,178 0,0.014709443
1199,177 0,0.014626806
3346,177 0,0.014626806
3131,176 0,0.014544168
2110,176 0,0.014544168
8868,175 0,0.014461531
1523,175 0,0.014461531
2113,174 0,0.014378894
8310,174 0,0.014378894
1288,174 0,0.014378894
1456,173 0,0.014296256
77,173 0,0.014296256
5460,173 0,0.014296256
1259,173 0,0.014296256
3838,173 0,0.014296256
2321,172 0,0.014213619
2015,171 0,0.014130982
2212,171 0,0.014130982
2335,171 0,0.014130982
2021,170 0,0.014048344
4512,170 0,0.014048344
4125,170 0,0.014048344
5123,170 0,0.014048344
5219,169 0,0.013965707
7452,168 0,0.01388307
2526,167 0,0.013800433
5942,167 0,0.013800433
5800,167 0,0.013800433
5432,166 0,0.013717795
8080,166 0,0.013717795
5700,166 0,0.013717795
1911,166 0,0.013717795
1366,165 0,0.013635158
8852,165 0,0.013635158
8511,165 0,0.013635158
2510,165 0,0.013635158
18,165 0,0.013635158
13,164 0,0.013552521
1951,164 0,0.013552521
1588,164 0,0.013552521
5215,163 0,0.013469883
3535,163 0,0.013469883
7894,163 0,0.013469883
1358,162 0,0.013387246
1472,162 0,0.013387246
1368,162 0,0.013387246
3399,162 0,0.013387246
5150,162 0,0.013387246
2848,162 0,0.013387246
8711,162 0,0.013387246
1318,161 0,0.013304609
3123,161 0,0.013304609
5456,161 0,0.013304609
8911,161 0,0.013304609
1323,161 0,0.013304609
2255,161 0,0.013304609
21,160 0,0.013221971
1311,160 0,0.013221971
536,160 0,0.013221971
8311,160 0,0.013221971
660,160 0,0.013221971
2486,159 0,0.013139334
1590,159 0,0.013139334
1680,159 0,0.013139334
4862,158 0,0.013056697
1355,157 0,0.012974059
7899,157 0,0.012974059
5260,157 0,0.012974059
9012,157 0,0.012974059
7520,157 0,0.012974059
8818,157 0,0.012974059
4561,157 0,0.012974059
1596,157 0,0.012974059
9001,157 0,0.012974059
4537,157 0,0.012974059
1521,156 0,0.012891422
1912,156 0,0.012891422
5420,156 0,0.012891422
2311,156 0,0.012891422
8910,155 0,0.012808785
8898,155 0,0.012808785
1598,155 0,0.012808785
3010,155 0,0.012808785
33,155 0,0.012808785
4520,154 0,0.012726147
2511,154 0,0.012726147
2727,154 0,0.012726147
2520,153 0,0.01264351
3415,153 0,0.01264351
1052,153 0,0.01264351
5522,152 0,0.012560873
1948,152 0,0.012560873
6363,151 0,0.012478235
1470,150 0,0.012395598
1345,150 0,0.012395598
7412,150 0,0.012395598
4560,149 0,0.012312961
8618,149 0,0.012312961
5220,148 0,0.012230323
452,148 0,0.012230323
5209,147 0,0.012147686
2131,147 0,0.012147686
22,147 0,0.012147686
9595,147 0,0.012147686
2210,147 0,0.012147686
8810,146 0,0.012065049
2050,146 0,0.012065049
7521,146 0,0.012065049
5821,146 0,0.012065049
8211,146 0,0.012065049
8250,146 0,0.012065049
455,145 0,0.011982411
1352,145 0,0.011982411
1144,145 0,0.011982411
8886,144 0,0.011899774
5173,144 0,0.011899774
7896,144 0,0.011899774
1888,144 0,0.011899774
5623,144 0,0.011899774
1512,144 0,0.011899774
3300,143 0,0.011817137
8312,143 0,0.011817137
2016,143 0,0.011817137
5689,142 0,0.0117345
5888,142 0,0.0117345
9911,142 0,0.0117345
8688,142 0,0.0117345
7799,142 0,0.0117345
2258,142 0,0.0117345
1748,142 0,0.0117345
1689,141 0,0.011651862
1942,141 0,0.011651862
1425,141 0,0.011651862
6655,141 0,0.011651862
79,140 0,0.011569225
2312,140 0,0.011569225
8611,139 0,0.011486588
8889,139 0,0.011486588
1138,139 0,0.011486588
5688,139 0,0.011486588
1253,138 0,0.01140395
1131,138 0,0.01140395
6300,138 0,0.01140395
2236,138 0,0.01140395
4123,138 0,0.01140395
7979,138 0,0.01140395
6988,138 0,0.01140395
9521,137 0,0.011321313
16,137 0,0.011321313
5258,137 0,0.011321313
3441,136 0,0.011238676
2514,136 0,0.011238676
8668,136 0,0.011238676
5231,136 0,0.011238676
7752,136 0,0.011238676
8000,136 0,0.011238676
8384,136 0,0.011238676
4747,135 0,0.011156038
8975,135 0,0.011156038
1457,135 0,0.011156038
3001,135 0,0.011156038
7610,135 0,0.011156038
3690,135 0,0.011156038
3320,135 0,0.011156038
3301,134 0,0.011073401
5250,134 0,0.011073401
1328,134 0,0.011073401
4500,134 0,0.011073401
78,134 0,0.011073401
3323,134 0,0.011073401
558,133 0,0.010990764
25,133 0,0.010990764
2324,133 0,0.010990764
7711,133 0,0.010990764
7755,133 0,0.010990764
1718,133 0,0.010990764
1600,133 0,0.010990764
8687,132 0,0.010908126
8181,132 0,0.010908126
8510,132 0,0.010908126
3355,132 0,0.010908126
8406,132 0,0.010908126
1380,132 0,0.010908126
2501,131 0,0.010825489
4000,131 0,0.010825489
2646,131 0,0.010825489
8788,130 0,0.010742852
8712,130 0,0.010742852
9966,130 0,0.010742852
2458,130 0,0.010742852
9901,130 0,0.010742852
4848,130 0,0.010742852
5438,130 0,0.010742852
1386,130 0,0.010742852
1303,129 0,0.010660214
9630,129 0,0.010660214
1812,129 0,0.010660214
1397,129 0,0.010660214
4562,129 0,0.010660214
7575,129 0,0.010660214
5204,129 0,0.010660214
7942,129 0,0.010660214
5500,128 0,0.010577577
6600,128 0,0.010577577
8412,128 0,0.010577577
8851,128 0,0.010577577
1518,128 0,0.010577577
2659,128 0,0.010577577
1237,128 0,0.010577577
1711,127 0,0.01049494
8612,127 0,0.01049494
1190,127 0,0.01049494
2611,127 0,0.01049494
3230,127 0,0.01049494
23,127 0,0.01049494
852,126 0,0.010412302
8610,126 0,0.010412302
6060,126 0,0.010412302
8502,126 0,0.010412302
17,125 0,0.010329665
3385,125 0,0.010329665
7911,125 0,0.010329665
8828,125 0,0.010329665
2610,125 0,0.010329665
2518,124 0,0.010247028
1944,124 0,0.010247028
5757,124 0,0.010247028
1819,124 0,0.010247028
3180,123 0,0.01016439
5400,123 0,0.01016439
3312,123 0,0.01016439
576,123 0,0.01016439
3003,123 0,0.01016439
5620,123 0,0.01016439
19,123 0,0.01016439
8410,123 0,0.01016439
3200,123 0,0.01016439
1356,123 0,0.01016439
2858,123 0,0.01016439
4040,123 0,0.01016439
14,122 0,0.010081753
9520,122 0,0.010081753
1326,121 0,0.009999116
3020,121 0,0.009999116
668,121 0,0.009999116
8912,120 0,0.009916478
7812,120 0,0.009916478
2088,120 0,0.009916478
5299,120 0,0.009916478
1155,120 0,0.009916478
3110,120 0,0.009916478
3369,120 0,0.009916478
1066,120 0,0.009916478
1921,120 0,0.009916478
8479,120 0,0.009916478
3600,119 0,0.009833841
5658,119 0,0.009833841
5261,119 0,0.009833841
8588,119 0,0.009833841
5411,119 0,0.009833841
5918,119 0,0.009833841
9009,119 0,0.009833841
5355,119 0,0.009833841
3579,118 0,0.009751204
6518,118 0,0.009751204
5251,118 0,0.009751204
1803,118 0,0.009751204
2300,118 0,0.009751204
2231,118 0,0.009751204
2234,117 0,0.009668566
2208,117 0,0.009668566
8012,117 0,0.009668566
1510,117 0,0.009668566
7749,117 0,0.009668566
7789,117 0,0.009668566
15,117 0,0.009668566
1800,117 0,0.009668566
5337,117 0,0.009668566
2929,117 0,0.009668566
5156,117 0,0.009668566
359,117 0,0.009668566
2213,117 0,0.009668566
2410,117 0,0.009668566
3313,116 0,0.009585929
8421,116 0,0.009585929
2111,116 0,0.009585929
2202,116 0,0.009585929
1290,116 0,0.009585929
8411,116 0,0.009585929
1305,116 0,0.009585929
6210,116 0,0.009585929
1243,115 0,0.009503292
550,115 0,0.009503292
8341,115 0,0.009503292
5959,115 0,0.009503292
1177,115 0,0.009503292
3936,115 0,0.009503292
5321,114 0,0.009420655
9989,114 0,0.009420655
9632,114 0,0.009420655
1301,114 0,0.009420655
4141,114 0,0.009420655
551,114 0,0.009420655
3014,114 0,0.009420655
1597,114 0,0.009420655
1377,114 0,0.009420655
1390,114 0,0.009420655
8484,114 0,0.009420655
9987,114 0,0.009420655
1511,113 0,0.009338017
564,113 0,0.009338017
8822,113 0,0.009338017
1255,113 0,0.009338017
8586,113 0,0.009338017
3011,113 0,0.009338017
9953,113 0,0.009338017
6100,112 0,0.00925538
2301,112 0,0.00925538
4646,112 0,0.00925538
8013,112 0,0.00925538
100,112 0,0.00925538
2412,112 0,0.00925538
2413,112 0,0.00925538
5020,112 0,0.00925538
2411,112 0,0.00925538
8844,111 0,0.009172743
372,111 0,0.009172743
3377,111 0,0.009172743
7895,111 0,0.009172743
1899,111 0,0.009172743
2120,111 0,0.009172743
431,111 0,0.009172743
5158,111 0,0.009172743
2134,110 0,0.009090105
1317,110 0,0.009090105
20,110 0,0.009090105
1333,110 0,0.009090105
3120,110 0,0.009090105
1309,110 0,0.009090105
8123,110 0,0.009090105
5253,109 0,0.009007468
1302,109 0,0.009007468
1306,109 0,0.009007468
5221,109 0,0.009007468
1331,109 0,0.009007468
71,109 0,0.009007468
1145,109 0,0.009007468
7727,109 0,0.009007468
2103,109 0,0.009007468
1568,109 0,0.009007468
8765,109 0,0.009007468
5842,109 0,0.009007468
1789,109 0,0.009007468
1411,109 0,0.009007468
456,108 0,0.008924831
4188,108 0,0.008924831
2358,108 0,0.008924831
3698,108 0,0.008924831
1821,108 0,0.008924831
1359,108 0,0.008924831
5263,108 0,0.008924831
1423,108 0,0.008924831
1132,108 0,0.008924831
5525,108 0,0.008924831
4568,108 0,0.008924831
1517,108 0,0.008924831
1088,107 0,0.008842193
1928,107 0,0.008842193
2205,107 0,0.008842193
2325,107 0,0.008842193
1417,107 0,0.008842193
1513,107 0,0.008842193
1432,107 0,0.008842193
8462,107 0,0.008842193
4488,107 0,0.008842193
2106,107 0,0.008842193
3021,107 0,0.008842193
1811,107 0,0.008842193
8821,106 0,0.008759556
4682,106 0,0.008759556
2188,106 0,0.008759556
3311,106 0,0.008759556
1322,106 0,0.008759556
2104,106 0,0.008759556
1599,105 0,0.008676919
2710,105 0,0.008676919
574,105 0,0.008676919
3212,105 0,0.008676919
3188,105 0,0.008676919
1410,105 0,0.008676919
1147,105 0,0.008676919
3688,105 0,0.008676919
32,105 0,0.008676919
8825,105 0,0.008676919
1032,105 0,0.008676919
6262,105 0,0.008676919
561,104 0,0.008594281
2911,104 0,0.008594281
6000,104 0,0.008594281
3699,104 0,0.008594281
9696,104 0,0.008594281
8896,104 0,0.008594281
3121,104 0,0.008594281
8856,104 0,0.008594281
54,104 0,0.008594281
